Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Year,Listed?,Status
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2004,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2005,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2006,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2007,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2008,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2009,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2010,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2011,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2012,1,New
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2013,1,In
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2014,1,In
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2015,0,Exit
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2016,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2017,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2018,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2019,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2020,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2021,0,Not Included
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2022,0,Not Included
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2004,0,Not Included
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2005,0,Not Included
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2006,0,Not Included
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2007,1,New
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2008,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2009,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2010,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2011,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2012,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2013,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2014,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2015,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2016,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2017,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2018,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2019,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2020,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2021,1,In
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2022,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2004,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2005,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2006,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2007,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2008,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2009,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2010,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2011,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2012,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2013,0,Not Included
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2014,1,New
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2015,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2016,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2017,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2018,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2019,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2020,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2021,1,In
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2022,1,In
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2004,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2005,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2006,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2007,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2008,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2009,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2010,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2011,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2012,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2013,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2014,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2015,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2016,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2017,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2018,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2019,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2020,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2021,0,Not Included
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2022,1,New
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2004,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2005,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2006,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2007,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2008,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2009,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2010,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2011,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2012,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2013,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2014,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2015,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2016,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2017,1,New
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2018,1,In
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2019,0,Exit
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2020,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2021,0,Not Included
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2022,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2004,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2005,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2006,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2007,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2008,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2009,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2010,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2011,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2012,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2013,1,New
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2014,0,Exit
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2015,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2016,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2017,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2018,0,Not Included
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2019,0,Not Included
