Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Year,Listed?,Status,Rank
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2012,1,New,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2013,1,In,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2014,1,In,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2015,0,Exit,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2007,1,New,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2008,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2009,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2010,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2011,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2012,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2013,1,In,2
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2014,1,In,2
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2015,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2016,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2017,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2018,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2019,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2020,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2021,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2022,1,In,1
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2014,1,New,1
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2015,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2016,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2017,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2018,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2019,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2020,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2021,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2022,1,In,2
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2022,1,New,1
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2017,1,New,1
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2018,1,In,3
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2019,0,Exit,1
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2013,1,New,1
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2014,0,Exit,1
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2014,1,New,2
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2015,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2016,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2017,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2018,1,In,4
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2019,0,Exit,2
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2013,1,New,2
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2014,1,In,3
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2015,1,In,4
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2016,1,In,4
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2017,0,Exit,1
